X,Y,ObjectId,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude
-82.217354,41.028244,2644,Dollar General 15585,477 US Highway 224,,Sullivan,OH,44880,9736,ASHLAND,-82.217354,41.028244
-73.953255,40.77977,2645,Whole Foods Market 10518,1551 3rd Ave,,New York,NY,10128,3104,NEW YORK,-73.953255,40.77977
-97.420815,32.959106,2646,Mighty Convenience,13075 N Saginaw Blvd,,Fort Worth,TX,76179,8401,TARRANT,-97.420815,32.959106
-83.890633,43.584469,2647,Jan's Party Store,603 Garfield Ave,,Bay City,MI,48708,7141,BAY,-83.890633,43.584469
-77.636978,36.433796,2648,Sheetz 567,1500 Julian r Allsbrook Hwy,,Roanoke Rapids,NC,27870,5114,HALIFAX,-77.636978,36.433796
-79.934189,40.494648,2649,Brother Tom's Bakery,808 Main St,,Pittsburgh,PA,15215,2210,ALLEGHENY,-79.934189,40.494648
-85.855324,38.957924,2650,Big Lots 256,2000 E Tipton St,,Seymour,IN,47274,3568,JACKSON,-85.855324,38.957924
-80.090561,26.525375,2651,Publix 1452,133 N Congress Ave,,Boynton Beach,FL,33426,4209,PALM BEACH,-80.090561,26.525375
-104.05114,48.870567,2652,Als Meats,212 Main St,,Westby,MT,59275,,SHERIDAN,-104.05114,48.870567
-87.561554,38.196339,2653,Holiday Foods 8,760 Hwy  68 E,,Haubstadt,IN,47639,,GIBSON,-87.561554,38.196339
-100.39743,32.475353,2654,CEFCO 2046,1101 E Broadway St,,Sweetwater,TX,79556,4717,NOLAN,-100.39743,32.475353
-87.506516,38.688648,2655,Big Lots 258,2323 N 6th St,,Vincennes,IN,47591,2403,KNOX,-87.506516,38.688648
-81.584381,41.450768,2656,Short Cut Deli & Beverage ,14005 Benwood Ave,,Cleveland,OH,44128,1842,CUYAHOGA,-81.584381,41.450768
-83.712906,36.607334,2657,Cumberland Market 2,1731 Cumberland Ave,,Middlesboro,KY,40965,1226,BELL,-83.712906,36.607334
-81.572502,41.032475,2658,IK-WA Inc,1290 W Waterloo Rd,,Akron,OH,44314,1508,SUMMIT,-81.572502,41.032475
-78.407356,33.918217,2659,Dollar General 15613,1351 Brick Landing Rd SW,,Shallotte,NC,28470,5462,BRUNSWICK,-78.407356,33.918217
